Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New User Login,Chrome 121.0.0.0,,,12-02-2024 10:31:01,12-02-2024 10:35:23,4m - 21.947s,PASSED
,,,,,,,
Test Cases/Register,Chrome 121.0.0.0,,,12-02-2024 10:31:02,12-02-2024 10:32:14,1m - 12.333s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:31:02,12-02-2024 10:31:04,2.075s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 10:31:04,12-02-2024 10:31:08,4.065s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:31:08,12-02-2024 10:31:14,6.072s,PASSED
delay(3),Chrome 121.0.0.0,,,12-02-2024 10:31:14,12-02-2024 10:31:18,3.047s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,12-02-2024 10:31:18,12-02-2024 10:31:18,0.394s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,12-02-2024 10:31:18,12-02-2024 10:31:20,1.885s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 10:31:20,12-02-2024 10:31:21,1.204s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 10:31:21,12-02-2024 10:31:22,0.605s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 10:31:22,12-02-2024 10:31:22,0.683s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,12-02-2024 10:31:22,12-02-2024 10:31:23,1.089s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,12-02-2024 10:31:23,12-02-2024 10:31:25,1.245s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phoneNumber)",Chrome 121.0.0.0,,,12-02-2024 10:31:25,12-02-2024 10:31:26,1.241s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), country, true)",Chrome 121.0.0.0,,,12-02-2024 10:31:26,12-02-2024 10:31:32,5.730s,PASSED
