Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Item,Chrome 121.0.0.0,,,13-02-2024 07:39:23,13-02-2024 07:41:28,2m - 5.682s,PASSED
,,,,,,,
Test Cases/Search Item 01 - Item Found,Chrome 121.0.0.0,,,13-02-2024 07:39:23,13-02-2024 07:39:58,35.099s,PASSED
randomNumber = customKeywords.randomGenerator.generateRandomNumber(),Chrome 121.0.0.0,,,13-02-2024 07:39:24,13-02-2024 07:39:24,0.142s,PASSED
println(randomNumber),Chrome 121.0.0.0,,,13-02-2024 07:39:24,13-02-2024 07:39:24,0.020s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:39:24,13-02-2024 07:39:26,1.832s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:39:26,13-02-2024 07:39:29,3.394s,PASSED
"click(findTestObject(""Spy/Homepage/Page_Advantage Shopping/searchIcon""))",Chrome 121.0.0.0,,,13-02-2024 07:39:29,13-02-2024 07:39:34,5.379s,PASSED
switch (randomNumber),Chrome 121.0.0.0,,,13-02-2024 07:39:34,13-02-2024 07:39:55,20.934s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:39:55,13-02-2024 07:39:56,0.684s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:39:58,13-02-2024 07:39:58,0.002s,PASSED
,,,,,,,
Test Cases/Search Item 01 - Item Found,Chrome 121.0.0.0,,,13-02-2024 07:39:58,13-02-2024 07:40:22,23.581s,PASSED
randomNumber = customKeywords.randomGenerator.generateRandomNumber(),Chrome 121.0.0.0,,,13-02-2024 07:39:58,13-02-2024 07:39:58,0.012s,PASSED
println(randomNumber),Chrome 121.0.0.0,,,13-02-2024 07:39:58,13-02-2024 07:39:58,0.004s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:39:58,13-02-2024 07:40:00,1.261s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:40:00,13-02-2024 07:40:04,4.078s,PASSED
"click(findTestObject(""Spy/Homepage/Page_Advantage Shopping/searchIcon""))",Chrome 121.0.0.0,,,13-02-2024 07:40:04,13-02-2024 07:40:08,4.570s,PASSED
switch (randomNumber),Chrome 121.0.0.0,,,13-02-2024 07:40:08,13-02-2024 07:40:19,11.160s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:40:19,13-02-2024 07:40:20,0.348s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:40:22,13-02-2024 07:40:22,0.002s,PASSED
,,,,,,,
Test Cases/Search Item 01 - Item Found,Chrome 121.0.0.0,,,13-02-2024 07:40:22,13-02-2024 07:40:57,34.736s,PASSED
randomNumber = customKeywords.randomGenerator.generateRandomNumber(),Chrome 121.0.0.0,,,13-02-2024 07:40:22,13-02-2024 07:40:22,0.015s,PASSED
println(randomNumber),Chrome 121.0.0.0,,,13-02-2024 07:40:22,13-02-2024 07:40:22,0.017s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:40:22,13-02-2024 07:40:23,1.093s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:40:23,13-02-2024 07:40:25,1.851s,PASSED
"click(findTestObject(""Spy/Homepage/Page_Advantage Shopping/searchIcon""))",Chrome 121.0.0.0,,,13-02-2024 07:40:25,13-02-2024 07:40:33,8.155s,PASSED
switch (randomNumber),Chrome 121.0.0.0,,,13-02-2024 07:40:33,13-02-2024 07:40:54,20.736s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:40:54,13-02-2024 07:40:54,0.564s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:40:57,13-02-2024 07:40:57,0.002s,PASSED
,,,,,,,
Test Cases/Search Item 02 - Item Not Found,Chrome 121.0.0.0,,,13-02-2024 07:40:57,13-02-2024 07:41:28,31.946s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:40:57,13-02-2024 07:40:58,0.937s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:40:58,13-02-2024 07:41:01,3.332s,PASSED
"click(findTestObject(""Spy/Homepage/Page_Advantage Shopping/searchIcon""))",Chrome 121.0.0.0,,,13-02-2024 07:41:01,13-02-2024 07:41:07,5.915s,PASSED
"setText(findTestObject(""Object Repository/Record/Search Item/Page_Advantage Shopping/input_Sign out_autoComplete""), ""Motorolla"")",Chrome 121.0.0.0,,,13-02-2024 07:41:07,13-02-2024 07:41:10,2.559s,PASSED
"sendKeys(findTestObject(""Object Repository/Record/Search Item/Page_Advantage Shopping/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,13-02-2024 07:41:10,13-02-2024 07:41:25,15.314s,PASSED
"verifyTextPresent(""No results for ""Motorolla"""", false)",Chrome 121.0.0.0,,,13-02-2024 07:41:25,13-02-2024 07:41:26,1.011s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:41:26,13-02-2024 07:41:26,0.324s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:41:28,13-02-2024 07:41:28,0.005s,PASSED
