Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 121.0.0.0,,,13-02-2024 07:44:42,13-02-2024 07:49:36,4m - 53.612s,PASSED
,,,,,,,
Test Cases/Register 01 - Sukses,Chrome 121.0.0.0,,,13-02-2024 07:44:43,13-02-2024 07:46:03,1m - 20.249s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:44:43,13-02-2024 07:44:45,1.813s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,13-02-2024 07:44:45,13-02-2024 07:44:49,3.419s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:44:49,13-02-2024 07:44:53,4.681s,PASSED
delay(3),Chrome 121.0.0.0,,,13-02-2024 07:44:53,13-02-2024 07:44:57,3.683s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,13-02-2024 07:44:57,13-02-2024 07:44:58,1.044s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,13-02-2024 07:44:58,13-02-2024 07:45:00,1.959s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,13-02-2024 07:45:00,13-02-2024 07:45:01,1.380s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,13-02-2024 07:45:01,13-02-2024 07:45:03,1.399s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), password)",Chrome 121.0.0.0,,,13-02-2024 07:45:03,13-02-2024 07:45:04,1.010s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,13-02-2024 07:45:04,13-02-2024 07:45:05,1.594s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,13-02-2024 07:45:05,13-02-2024 07:45:07,1.260s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phoneNumber)",Chrome 121.0.0.0,,,13-02-2024 07:45:07,13-02-2024 07:45:08,1.461s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), country, true)",Chrome 121.0.0.0,,,13-02-2024 07:45:08,13-02-2024 07:45:17,9.396s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Country_cityRegisterPage""), city)",Chrome 121.0.0.0,,,13-02-2024 07:45:17,13-02-2024 07:45:18,1.036s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 25 character_addressReg_9e23b3""), address)",Chrome 121.0.0.0,,,13-02-2024 07:45:18,13-02-2024 07:45:20,1.560s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 50 character_state__pro_272a54""), region)",Chrome 121.0.0.0,,,13-02-2024 07:45:20,13-02-2024 07:45:22,1.726s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 10 character_postal_cod_639c2f""), postCode)",Chrome 121.0.0.0,,,13-02-2024 07:45:22,13-02-2024 07:45:23,1.665s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Receive exclusive offers and promotio_5c7450""))",Chrome 121.0.0.0,,,13-02-2024 07:45:23,13-02-2024 07:45:24,0.630s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,13-02-2024 07:45:24,13-02-2024 07:45:25,0.546s,PASSED
